District,Filename,Category,Subcategory,Order
Nine Mile Falls School District,Historical Demographics for the Nine Mile Falls School District.png,student demographics,student demographics,5
Nooksack Valley School District,Historical Demographics for the Nooksack Valley School District.png,student demographics,student demographics,5
North Beach School District No 64,Historical Demographics for the North Beach School District No 64.png,student demographics,student demographics,5
North Franklin School District,Historical Demographics for the North Franklin School District.png,student demographics,student demographics,5
North Kitsap School District,Historical Demographics for the North Kitsap School District.png,student demographics,student demographics,5
North Mason School District,Historical Demographics for the North Mason School District.png,student demographics,student demographics,5
North River School District,Historical Demographics for the North River School District.png,student demographics,student demographics,5
North Thurston Public Schools,Historical Demographics for the North Thurston Public Schools.png,student demographics,student demographics,5
Northport School District,Historical Demographics for the Northport School District.png,student demographics,student demographics,5
Northshore School District,Historical Demographics for the Northshore School District.png,student demographics,student demographics,5
Oak Harbor School District,Historical Demographics for the Oak Harbor School District.png,student demographics,student demographics,5
Oakesdale School District,Historical Demographics for the Oakesdale School District.png,student demographics,student demographics,5
Oakville School District,Historical Demographics for the Oakville School District.png,student demographics,student demographics,5
Ocean Beach School District,Historical Demographics for the Ocean Beach School District.png,student demographics,student demographics,5
Ocosta School District,Historical Demographics for the Ocosta School District.png,student demographics,student demographics,5
Odessa School District,Historical Demographics for the Odessa School District.png,student demographics,student demographics,5
Okanogan School District,Historical Demographics for the Okanogan School District.png,student demographics,student demographics,5
Olympia School District,Historical Demographics for the Olympia School District.png,student demographics,student demographics,5
Omak School District,Historical Demographics for the Omak School District.png,student demographics,student demographics,5
Onalaska School District,Historical Demographics for the Onalaska School District.png,student demographics,student demographics,5
Onion Creek School District,Historical Demographics for the Onion Creek School District.png,student demographics,student demographics,5
Orcas Island School District,Historical Demographics for the Orcas Island School District.png,student demographics,student demographics,5
Orchard Prairie School District,Historical Demographics for the Orchard Prairie School District.png,student demographics,student demographics,5
Orient School District,Historical Demographics for the Orient School District.png,student demographics,student demographics,5
Orondo School District,Historical Demographics for the Orondo School District.png,student demographics,student demographics,5
Oroville School District,Historical Demographics for the Oroville School District.png,student demographics,student demographics,5
Orting School District,Historical Demographics for the Orting School District.png,student demographics,student demographics,5
Othello School District,Historical Demographics for the Othello School District.png,student demographics,student demographics,5
PRIDE Prep Charter School District,Historical Demographics for the PRIDE Prep Charter School District.png,student demographics,student demographics,5
Palisades School District,Historical Demographics for the Palisades School District.png,student demographics,student demographics,5
Palouse School District,Historical Demographics for the Palouse School District.png,student demographics,student demographics,5
Pasco School District,Historical Demographics for the Pasco School District.png,student demographics,student demographics,5
Pateros School District,Historical Demographics for the Pateros School District.png,student demographics,student demographics,5
Paterson School District,Historical Demographics for the Paterson School District.png,student demographics,student demographics,5
Pe Ell School District,Historical Demographics for the Pe Ell School District.png,student demographics,student demographics,5
Peninsula School District,Historical Demographics for the Peninsula School District.png,student demographics,student demographics,5
Pioneer School District,Historical Demographics for the Pioneer School District.png,student demographics,student demographics,5
Pomeroy School District,Historical Demographics for the Pomeroy School District.png,student demographics,student demographics,5
Port Angeles School District,Historical Demographics for the Port Angeles School District.png,student demographics,student demographics,5
Port Townsend School District,Historical Demographics for the Port Townsend School District.png,student demographics,student demographics,5
Prescott School District,Historical Demographics for the Prescott School District.png,student demographics,student demographics,5
Prosser School District,Historical Demographics for the Prosser School District.png,student demographics,student demographics,5
Pullman School District,Historical Demographics for the Pullman School District.png,student demographics,student demographics,5
Puyallup School District,Historical Demographics for the Puyallup School District.png,student demographics,student demographics,5
Queets-Clearwater School District,Historical Demographics for the Queets-Clearwater School District.png,student demographics,student demographics,5
Quilcene School District,Historical Demographics for the Quilcene School District.png,student demographics,student demographics,5
Quillayute Valley School District,Historical Demographics for the Quillayute Valley School District.png,student demographics,student demographics,5
Quincy School District,Historical Demographics for the Quincy School District.png,student demographics,student demographics,5
Rainier Prep Charter School District,Historical Demographics for the Rainier Prep Charter School District.png,student demographics,student demographics,5
Rainier School District,Historical Demographics for the Rainier School District.png,student demographics,student demographics,5
Rainier Valley Leadership Academy,Historical Demographics for the Rainier Valley Leadership Academy.png,student demographics,student demographics,5
Raymond School District,Historical Demographics for the Raymond School District.png,student demographics,student demographics,5
Reardan-Edwall School District,Historical Demographics for the Reardan-Edwall School District.png,student demographics,student demographics,5
Renton School District,Historical Demographics for the Renton School District.png,student demographics,student demographics,5
Republic School District,Historical Demographics for the Republic School District.png,student demographics,student demographics,5
Richland School District,Historical Demographics for the Richland School District.png,student demographics,student demographics,5
Ridgefield School District,Historical Demographics for the Ridgefield School District.png,student demographics,student demographics,5
Ritzville School District,Historical Demographics for the Ritzville School District.png,student demographics,student demographics,5
Riverside School District,Historical Demographics for the Riverside School District.png,student demographics,student demographics,5
Riverview School District,Historical Demographics for the Riverview School District.png,student demographics,student demographics,5
Rochester School District,Historical Demographics for the Rochester School District.png,student demographics,student demographics,5
Roosevelt School District,Historical Demographics for the Roosevelt School District.png,student demographics,student demographics,5
Rosalia School District,Historical Demographics for the Rosalia School District.png,student demographics,student demographics,5
Royal School District,Historical Demographics for the Royal School District.png,student demographics,student demographics,5
SOAR Academy Charter District,Historical Demographics for the SOAR Academy Charter District.png,student demographics,student demographics,5
San Juan Island School District,Historical Demographics for the San Juan Island School District.png,student demographics,student demographics,5
Satsop School District,Historical Demographics for the Satsop School District.png,student demographics,student demographics,5
Seattle School District,Historical Demographics for the Seattle School District.png,student demographics,student demographics,5
Sedro-Woolley School District,Historical Demographics for the Sedro-Woolley School District.png,student demographics,student demographics,5
Selah School District,Historical Demographics for the Selah School District.png,student demographics,student demographics,5
Selkirk School District,Historical Demographics for the Selkirk School District.png,student demographics,student demographics,5
Sequim School District,Historical Demographics for the Sequim School District.png,student demographics,student demographics,5
Shaw Island School District,Historical Demographics for the Shaw Island School District.png,student demographics,student demographics,5
Shelton School District,Historical Demographics for the Shelton School District.png,student demographics,student demographics,5
Shoreline School District,Historical Demographics for the Shoreline School District.png,student demographics,student demographics,5
Skamania School District,Historical Demographics for the Skamania School District.png,student demographics,student demographics,5
Skykomish School District,Historical Demographics for the Skykomish School District.png,student demographics,student demographics,5
Snohomish School District,Historical Demographics for the Snohomish School District.png,student demographics,student demographics,5
Snoqualmie Valley School District,Historical Demographics for the Snoqualmie Valley School District.png,student demographics,student demographics,5
Soap Lake School District,Historical Demographics for the Soap Lake School District.png,student demographics,student demographics,5
South Bend School District,Historical Demographics for the South Bend School District.png,student demographics,student demographics,5
South Kitsap School District,Historical Demographics for the South Kitsap School District.png,student demographics,student demographics,5
South Whidbey School District,Historical Demographics for the South Whidbey School District.png,student demographics,student demographics,5
Southside School District,Historical Demographics for the Southside School District.png,student demographics,student demographics,5
Spokane International Academy,Historical Demographics for the Spokane International Academy.png,student demographics,student demographics,5
Spokane School District,Historical Demographics for the Spokane School District.png,student demographics,student demographics,5
Sprague School District,Historical Demographics for the Sprague School District.png,student demographics,student demographics,5
St John School District,Historical Demographics for the St John School District.png,student demographics,student demographics,5
Stanwood-Camano School District,Historical Demographics for the Stanwood-Camano School District.png,student demographics,student demographics,5
Star School District No 054,Historical Demographics for the Star School District No 054.png,student demographics,student demographics,5
Starbuck School District,Historical Demographics for the Starbuck School District.png,student demographics,student demographics,5
Stehekin School District,Historical Demographics for the Stehekin School District.png,student demographics,student demographics,5
Steilacoom Hist School District,Historical Demographics for the Steilacoom Hist School District.png,student demographics,student demographics,5
Steptoe School District,Historical Demographics for the Steptoe School District.png,student demographics,student demographics,5
Stevenson-Carson School District,Historical Demographics for the Stevenson-Carson School District.png,student demographics,student demographics,5
Sultan School District,Historical Demographics for the Sultan School District.png,student demographics,student demographics,5
Summit Public School Atlas,Historical Demographics for the Summit Public School Atlas.png,student demographics,student demographics,5
Summit Public School Olympus,Historical Demographics for the Summit Public School Olympus.png,student demographics,student demographics,5
Summit Public School Sierra,Historical Demographics for the Summit Public School Sierra.png,student demographics,student demographics,5
Summit Valley School District,Historical Demographics for the Summit Valley School District.png,student demographics,student demographics,5
Sumner School District,Historical Demographics for the Sumner School District.png,student demographics,student demographics,5
Sunnyside School District,Historical Demographics for the Sunnyside School District.png,student demographics,student demographics,5
Tacoma School District,Historical Demographics for the Tacoma School District.png,student demographics,student demographics,5
Taholah School District,Historical Demographics for the Taholah School District.png,student demographics,student demographics,5
Tahoma School District,Historical Demographics for the Tahoma School District.png,student demographics,student demographics,5
Tekoa School District,Historical Demographics for the Tekoa School District.png,student demographics,student demographics,5
Tenino School District,Historical Demographics for the Tenino School District.png,student demographics,student demographics,5
Thorp School District,Historical Demographics for the Thorp School District.png,student demographics,student demographics,5
Toledo School District,Historical Demographics for the Toledo School District.png,student demographics,student demographics,5
Tonasket School District,Historical Demographics for the Tonasket School District.png,student demographics,student demographics,5
Toppenish School District,Historical Demographics for the Toppenish School District.png,student demographics,student demographics,5
Touchet School District,Historical Demographics for the Touchet School District.png,student demographics,student demographics,5
Toutle Lake School District,Historical Demographics for the Toutle Lake School District.png,student demographics,student demographics,5
Trout Lake School District,Historical Demographics for the Trout Lake School District.png,student demographics,student demographics,5
Tukwila School District,Historical Demographics for the Tukwila School District.png,student demographics,student demographics,5
Tumwater School District,Historical Demographics for the Tumwater School District.png,student demographics,student demographics,5
Union Gap School District,Historical Demographics for the Union Gap School District.png,student demographics,student demographics,5
University Place School District,Historical Demographics for the University Place School District.png,student demographics,student demographics,5
Valley School District,Historical Demographics for the Valley School District.png,student demographics,student demographics,5
Vancouver School District,Historical Demographics for the Vancouver School District.png,student demographics,student demographics,5
Vashon Island School District,Historical Demographics for the Vashon Island School District.png,student demographics,student demographics,5
Wahkiakum School District,Historical Demographics for the Wahkiakum School District.png,student demographics,student demographics,5
Wahluke School District,Historical Demographics for the Wahluke School District.png,student demographics,student demographics,5
Waitsburg School District,Historical Demographics for the Waitsburg School District.png,student demographics,student demographics,5
Walla Walla Public Schools,Historical Demographics for the Walla Walla Public Schools.png,student demographics,student demographics,5
Wapato School District,Historical Demographics for the Wapato School District.png,student demographics,student demographics,5
Warden School District,Historical Demographics for the Warden School District.png,student demographics,student demographics,5
Washougal School District,Historical Demographics for the Washougal School District.png,student demographics,student demographics,5
Washtucna School District,Historical Demographics for the Washtucna School District.png,student demographics,student demographics,5
Waterville School District,Historical Demographics for the Waterville School District.png,student demographics,student demographics,5
Wellpinit School District #49,Historical Demographics for the Wellpinit School District #49.png,student demographics,student demographics,5
Wenatchee School District,Historical Demographics for the Wenatchee School District.png,student demographics,student demographics,5
West Valley School District (Spokane),Historical Demographics for the West Valley School District (Spokane).png,student demographics,student demographics,5
West Valley School District (Yakima),Historical Demographics for the West Valley School District (Yakima).png,student demographics,student demographics,5
White Pass School District,Historical Demographics for the White Pass School District.png,student demographics,student demographics,5
White River School District,Historical Demographics for the White River School District.png,student demographics,student demographics,5
White Salmon Valley School District,Historical Demographics for the White Salmon Valley School District.png,student demographics,student demographics,5
Wilbur School District,Historical Demographics for the Wilbur School District.png,student demographics,student demographics,5
Willapa Valley School District,Historical Demographics for the Willapa Valley School District.png,student demographics,student demographics,5
Wilson Creek School District,Historical Demographics for the Wilson Creek School District.png,student demographics,student demographics,5
Winlock School District,Historical Demographics for the Winlock School District.png,student demographics,student demographics,5
Wishkah Valley School District,Historical Demographics for the Wishkah Valley School District.png,student demographics,student demographics,5
Wishram School District,Historical Demographics for the Wishram School District.png,student demographics,student demographics,5
Woodland School District,Historical Demographics for the Woodland School District.png,student demographics,student demographics,5
Yakima School District,Historical Demographics for the Yakima School District.png,student demographics,student demographics,5
Yelm School District,Historical Demographics for the Yelm School District.png,student demographics,student demographics,5
Zillah School District,Historical Demographics for the Zillah School District.png,student demographics,student demographics,5
